"","Country","Year","Week_ahead","Accuracy_rolling","Accuracy_fix","Accuracy_hist","Accuracy_null","MZE_rolling","MZE_fix","MZE_hist","MZE_null","macroMAE_rolling","macroMAE_fix","macroMAE_hist","macroMAE_null","Country_fullName"
"104","PRT",2017,4,0.846,0.865,0.769,0.808,0.154,0.135,0.231,0.192,0.407246376811594,0.336231884057971,0.728260869565217,0.734057971014493,"Portugal"
"105","ROU",2017,1,1,1,1,1,0,0,0,0,0,0,0,0,"Romania"
"106","ROU",2017,2,1,1,1,1,0,0,0,0,0,0,0,0,"Romania"
"107","ROU",2017,3,1,1,1,1,0,0,0,0,0,0,0,0,"Romania"
"108","ROU",2017,4,1,1,1,1,0,0,0,0,0,0,0,0,"Romania"
"109","SRB",2017,1,0.591,0.636,0.273,0.455,0.409,0.364,0.727,0.545,1.07714285714286,0.677142857142857,1.99714285714286,1.04714285714286,"Serbia"
"110","SRB",2017,2,0.364,0.136,0.318,0.5,0.636,0.864,0.682,0.5,1.47,1.29714285714286,2.01857142857143,1.47285714285714,"Serbia"
"111","SRB",2017,3,0.409,0.227,0.318,0.227,0.591,0.773,0.682,0.773,1.63857142857143,1.78285714285714,2.06857142857143,1.75571428571429,"Serbia"
"112","SRB",2017,4,0.364,0.227,0.364,0.273,0.636,0.773,0.636,0.727,1.86714285714286,1.99714285714286,2.04,1.92142857142857,"Serbia"
"113","SVK",2017,1,0.769,0.788,0.615,0.712,0.231,0.212,0.385,0.288,0.875925925925926,0.775925925925926,1.41481481481481,0.737037037037037,"Slovakia"
"114","SVK",2017,2,0.673,0.692,0.558,0.673,0.327,0.308,0.442,0.327,1.59444444444444,1.48703703703704,1.57962962962963,1.2037037037037,"Slovakia"
"115","SVK",2017,3,0.673,0.692,0.519,0.596,0.327,0.308,0.481,0.404,1.85740740740741,1.85185185185185,1.74259259259259,1.38888888888889,"Slovakia"
"116","SVK",2017,4,0.712,0.75,0.462,0.577,0.288,0.25,0.538,0.423,1.65740740740741,1.49074074074074,1.90555555555556,1.46481481481481,"Slovakia"
"117","SVN",2017,1,0.865,0.846,0.731,0.846,0.135,0.154,0.269,0.154,1.57121212121212,1.53560606060606,3.08712121212121,1.60454545454545,"Slovenia"
"118","SVN",2017,2,0.846,0.865,0.712,0.808,0.154,0.135,0.288,0.192,1.43787878787879,1.37121212121212,3.12727272727273,2.07575757575758,"Slovenia"
"119","SVN",2017,3,0.865,0.846,0.712,0.788,0.135,0.154,0.288,0.212,1.57348484848485,1.58030303030303,3.12727272727273,3.08484848484848,"Slovenia"
"120","SVN",2017,4,0.827,0.808,0.712,0.769,0.173,0.192,0.288,0.231,2.61363636363636,2.71136363636364,3.12727272727273,3.0719696969697,"Slovenia"
"121","TUR",2017,1,0.588,0.549,0.392,0.667,0.412,0.451,0.608,0.333,1.2060101010101,1.69919191919192,2.87287878787879,0.728737373737374,"Turkey"
"122","TUR",2017,2,0.49,0.431,0.392,0.529,0.51,0.569,0.608,0.471,1.54671717171717,1.91207070707071,3.12121212121212,0.823030303030303,"Turkey"
"123","TUR",2017,3,0.51,0.51,0.412,0.392,0.49,0.49,0.588,0.608,1.67540404040404,2.10873737373737,3.19489898989899,1.25565656565657,"Turkey"
"124","TUR",2017,4,0.51,0.431,0.373,0.314,0.49,0.569,0.627,0.686,1.83227272727273,2.5560101010101,3.33954545454545,1.74994949494949,"Turkey"
"125","USA",2017,1,0.615,0.558,0.423,0.577,0.385,0.442,0.577,0.423,0.69077380952381,0.801488095238095,2.06577380952381,0.674404761904762,"USA"
"126","USA",2017,2,0.558,0.519,0.404,0.462,0.442,0.481,0.596,0.538,1.08452380952381,1.21785714285714,2.45535714285714,1.19880952380952,"USA"
"127","USA",2017,3,0.558,0.519,0.365,0.269,0.442,0.481,0.635,0.731,1.32172619047619,1.28005952380952,2.57619047619048,1.6625,"USA"
"128","USA",2017,4,0.596,0.558,0.308,0.173,0.404,0.442,0.692,0.827,1.61577380952381,1.60744047619048,2.75297619047619,2.06785714285714,"USA"
